Package,Built
RMySQL,3.3.2
rngtools,3.3.3
robustbase,3.3.2
Rook,3.3.3
rowr,3.3.2
roxygen2,3.3.3
roxygen2Comment,3.3.3
rpart,3.3.3
RPostgreSQL,3.3.3
rprojroot,3.3.3
rsconnect,3.3.2
RSQLite,3.3.3
rstudioapi,3.3.3
runr,3.3.3
rvest,3.3.0
sandwich,3.3.3
scales,3.3.3
scatterplot3d,3.3.3
selectr,3.3.3
seriation,3.3.2
servr,3.3.2
sfsmisc,3.3.2
shiny,3.3.3
shinycssloaders,3.3.3
shinyFiles,3.3.0
shinyHeatmaply,3.3.3
shinythemes,3.3.3
showtext,3.3.2
showtextdb,3.3.2
skimr,3.3.3
slipper,3.3.3
SnowballC,3.3.3
sourcetools,3.3.3
sp,3.3.2
sparklyr,3.3.2
SparseM,3.3.2
spatial,3.3.3
sqldf,3.3.3
stargazer,3.3.0
statebins,3.3.0
stopwords,3.3.2
stringdist,3.3.2
stringi,3.3.3
stringr,3.3.3
strucchange,3.3.0
styler,3.3.2
survival,3.3.3
swirl,3.3.3
sysfonts,3.3.2
tensorflow,3.3.2
testthat,3.3.0
tfruns,3.3.2
TH.data,3.3.3
tibble,3.3.2
tibbletime,3.3.2
tidyjson,3.3.3
tidyquant,3.3.3
tidyr,3.3.2
tidyselect,3.3.3
tidytext,3.3.3
tidyverse,3.3.3
timeDate,3.3.2
timeSeries,3.3.0
timetk,3.3.3
titanic,3.3.0
tm,3.3.3
tokenizers,3.3.0
topicmodels,3.3.2
trelloR,3.3.3
trimcluster,3.3.3
tseries,3.3.2
tsne,3.3.3
TSP,3.3.3
TTR,3.3.2
tweenr,3.3.0
udunits2,3.3.2
units,3.3.2
usethis,3.3.3
uuid,3.3.3
V8,3.3.2
viridis,3.3.2
viridisLite,3.3.3
visNetwork,3.3.3
waterfalls,3.3.2
webshot,3.3.2
whisker,3.3.3
widyr,3.3.2
withr,3.3.3
wordcloud,3.3.3
xgboost,3.3.3
xgboostExplainer,3.3.3
XLConnect,3.3.2
XLConnectJars,3.3.2
xlsxjars,3.3.3
XML,3.3.2
xmlparsedata,3.3.3
xtable,3.3.3
xts,3.3.2
yaml,3.3.2
zoo,3.3.3
