Package,LibPath,Version,Priority,Built
dichromat,/Users/amanda/Library/R/3.3/library,2.0-0,NA,3.3.3
digest,/Users/amanda/Library/R/3.3/library,0.6.13,NA,3.3.2
dimRed,/Users/amanda/Library/R/3.3/library,0.1.0,NA,3.3.2
diptest,/Users/amanda/Library/R/3.3/library,0.75-7,NA,3.3.3
dobtools,/Users/amanda/Library/R/3.3/library,0.1.0,NA,3.3.3
doParallel,/Users/amanda/Library/R/3.3/library,1.0.11,NA,3.3.2
downloader,/Users/amanda/Library/R/3.3/library,0.4,NA,3.3.0
dplyr,/Users/amanda/Library/R/3.3/library,0.7.4.9000,NA,3.3.3
drat,/Users/amanda/Library/R/3.3/library,0.1.3,NA,3.3.2
DRR,/Users/amanda/Library/R/3.3/library,0.0.2,NA,3.3.0
DT,/Users/amanda/Library/R/3.3/library,0.2.12,NA,3.3.3
dtplyr,/Users/amanda/Library/R/3.3/library,0.0.2,NA,3.3.3
e1071,/Users/amanda/Library/R/3.3/library,1.6-8,NA,3.3.3
emo,/Users/amanda/Library/R/3.3/library,0.0.0.9000,NA,3.3.3
emojifont,/Users/amanda/Library/R/3.3/library,0.5.0,NA,3.3.3
enc,/Users/amanda/Library/R/3.3/library,0.1,NA,3.3.2
evaluate,/Users/amanda/Library/R/3.3/library,0.10.1,NA,3.3.3
ezknitr,/Users/amanda/Library/R/3.3/library,0.6,NA,3.3.3
fastmatch,/Users/amanda/Library/R/3.3/library,1.1-0,NA,3.3.3
fcuk,/Users/amanda/Library/R/3.3/library,0.1.21,NA,3.3.3
feather,/Users/amanda/Library/R/3.3/library,0.3.1,NA,3.3.3
fivethirtyeight,/Users/amanda/Library/R/3.3/library,0.3.0,NA,3.3.2
flexclust,/Users/amanda/Library/R/3.3/library,1.3-4,NA,3.3.3
flexmix,/Users/amanda/Library/R/3.3/library,2.3-14,NA,3.3.3
forcats,/Users/amanda/Library/R/3.3/library,0.2.0,NA,3.3.3
foreach,/Users/amanda/Library/R/3.3/library,1.4.4,NA,3.3.2
forecast,/Users/amanda/Library/R/3.3/library,8.2,NA,3.3.2
foreign,/Users/amanda/Library/R/3.3/library,0.8-69,recommended,3.3.3
formatR,/Users/amanda/Library/R/3.3/library,1.5,NA,3.3.3
Formula,/Users/amanda/Library/R/3.3/library,1.2-2,NA,3.3.3
fpc,/Users/amanda/Library/R/3.3/library,2.1-10,NA,3.3.3
FRACTION,/Users/amanda/Library/R/3.3/library,1.0,NA,3.3.0
fredr,/Users/amanda/Library/R/3.3/library,0.3.0.9000,NA,3.3.3
fs,/Users/amanda/Library/R/3.3/library,1.1.0,NA,3.3.3
